amfi_code,CAGR_1Y,CAGR_3Y,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
100016,-2.22,1.29,-0.2015,0.037476,-0.0583,-24.73,1.55,35.0,35.0,39.0,32.0,34.0,99.92912827781714
100025,3.7,3.92,-0.5671,0.042818,0.0012,-4.31,0.56,34.0,39.0,38.0,2.0,4.0,80.0850460666194
100033,53.23,32.44,1.0937,0.271954,0.0051,-16.22,1.38,4.0,7.0,6.0,17.0,20.0,24.66335931963146
101206,47.92,28.97,1.0272,0.213998,0.0211,-11.29,1.6,9.0,9.0,12.0,36.5,9.0,38.908575478384115
101207,-23.99,-4.15,0.1627,0.108971,-0.0653,-35.45,1.53,39.0,28.0,27.0,28.5,38.0,91.21190644932669
101208,7.24,6.32,-0.8156,0.060861,0.0003,-0.16,0.79,31.0,40.0,33.0,11.0,3.0,78.95109851169381
102885,20.21,19.67,0.8171,0.170488,-0.0195,-10.86,1.57,18.0,16.0,19.0,34.0,7.0,53.86250885896525
102886,-16.8,-0.77,-0.2058,0.028969,-0.0421,-28.0,1.51,37.0,36.0,40.0,24.5,35.0,100.0
102887,13.58,25.56,0.6195,0.162113,0.0167,-21.54,1.64,13.0,22.0,21.0,39.5,30.0,63.85542168674698
118632,33.98,22.65,1.0817,0.218294,-0.0084,-17.41,1.51,14.0,8.0,11.0,24.5,23.0,40.75124025513819
118633,25.54,21.09,0.6452,0.156438,-0.0366,-18.63,0.72,15.0,21.0,22.0,5.5,26.0,49.82282069454287
118634,15.81,8.01,0.4484,0.175007,0.1035,-23.34,1.53,27.0,26.0,18.0,28.5,32.0,72.78525868178595
118635,22.49,20.01,0.6649,0.151364,-0.0014,-11.65,0.89,17.0,19.0,23.0,13.0,10.0,49.32671863926292
118636,10.45,4.06,-0.3566,0.050748,0.0013,-8.32,0.55,33.0,38.0,35.0,1.0,6.0,76.96669029057405
119092,1.61,0.53,0.0308,0.068995,0.0097,-14.4,1.64,36.0,31.0,30.0,39.5,15.0,90.64493267186391
119093,19.77,20.82,0.1296,0.082328,0.0259,-21.75,0.75,16.0,29.0,28.0,8.0,31.0,62.22537207654146
119094,22.26,35.11,0.9982,0.260767,-0.0663,-20.96,1.38,1.0,11.0,9.0,17.0,28.0,28.915662650602403
119095,-42.8,-11.71,-0.076,0.048016,-0.067,-51.68,1.38,40.0,33.0,37.0,17.0,39.0,96.66902905740609
119120,5.52,5.84,-0.2266,0.056209,-0.0064,-4.33,0.77,32.0,37.0,34.0,9.0,5.0,77.95889440113395
119551,60.44,30.46,1.2083,0.23201,-0.0318,-15.01,1.54,6.0,4.0,10.0,30.5,17.0,31.39617292700212
119552,5.71,16.27,0.9533,0.198686,-0.0262,-11.8,0.66,23.0,12.0,15.0,4.0,11.0,41.38908575478383
119598,82.78,26.67,0.9453,0.30337,-0.0232,-28.71,1.43,12.0,14.0,1.0,21.0,36.0,39.829907866761154
119599,13.95,-1.34,-0.0572,0.048824,0.062,-52.57,0.72,38.0,32.0,36.0,5.5,40.0,89.08575478384122
120503,8.49,13.98,0.798,0.177033,-0.0403,-13.9,1.42,25.0,17.0,17.0,20.0,14.0,55.42168674698793
120504,13.06,32.49,1.0265,0.211948,0.0162,-12.59,0.8,3.0,10.0,13.0,12.0,12.0,25.513819985825652
120505,29.6,31.78,1.1801,0.292636,0.0005,-18.19,1.36,5.0,5.0,3.0,15.0,25.0,22.962437987243085
120506,41.82,18.42,0.6489,0.162539,0.0419,-19.83,1.41,20.0,20.0,20.0,19.0,27.0,58.25655563430191
120507,7.43,7.39,0.4957,0.067462,-0.0004,-0.1,0.74,29.0,23.0,31.0,7.0,1.0,61.80014174344436
120841,16.84,17.27,0.4943,0.130429,0.0364,-17.57,1.59,22.0,24.0,25.0,35.0,24.0,71.58043940467752
120842,22.5,7.76,0.076,0.078044,0.0181,-24.0,1.56,28.0,30.0,29.0,33.0,33.0,84.90432317505315
120843,26.66,29.58,1.3067,0.273305,-0.0228,-12.97,1.45,7.0,2.0,5.0,22.0,13.0,23.245924875974485
120844,7.12,6.7,-0.0887,0.064557,-0.0004,-0.12,0.6,30.0,34.0,32.0,3.0,2.0,69.59603118355774
125497,28.68,18.43,0.7758,0.177298,0.0488,-15.2,0.92,19.0,18.0,16.0,14.0,18.0,49.043231750531525
125498,15.44,11.25,0.3006,0.119891,0.0091,-21.12,0.78,26.0,27.0,26.0,10.0,29.0,68.46208362863216
148567,20.36,34.0,1.4483,0.269838,0.0237,-11.27,1.46,2.0,1.0,7.0,23.0,8.0,18.426647767540747
148568,14.27,14.75,0.9263,0.20873,-0.0264,-15.27,1.52,24.0,15.0,14.0,26.5,19.0,55.63430191353649
148569,39.75,29.18,1.2349,0.282704,0.0181,-16.4,1.6,8.0,3.0,4.0,36.5,21.0,32.671863926293405
149322,18.11,18.04,0.464,0.131732,-0.0041,-14.84,1.54,21.0,25.0,24.0,30.5,16.0,66.69029057406094
149323,21.48,26.87,1.1321,0.265986,-0.0025,-17.25,1.61,11.0,6.0,8.0,38.0,22.0,40.53862508858965
149324,65.14,27.0,0.9498,0.300579,0.0115,-31.17,1.52,10.0,13.0,2.0,26.5,37.0,40.60949681077249
